E(MeV)  pendfb7/In113:1
8.1445125e-08  10.7876048
8.2831798e-08  10.7373915
8.424208e-08  10.686416
8.7135088e-08  10.5873859
9.0127446e-08  10.4904029
9.3222567e-08  10.3954488
9.6423979e-08  10.3025051
9.9735333e-08  10.2115529
1.03160403e-07  10.1225734
1.06703097e-07  10.0355483
1.10367452e-07  9.95045999
1.14157646e-07  9.86729246
1.18078002e-07  9.78603148
1.2213299e-07  9.70666629
1.26327232e-07  9.62919069
1.30665511e-07  9.55360002
1.35152774e-07  9.47988229
1.39794136e-07  9.40801247
1.4459489e-07  9.33796254
1.4956051e-07  9.26971858
1.54696657e-07  9.20328345
1.60009188e-07  9.13866507
1.65504159e-07  9.07586835
1.71187836e-07  9.01489563
1.770667e-07  8.95574947
1.83147454e-07  8.89843412
1.8943703e-07  8.84295599
1.95942601e-07  8.78932378
2.02671583e-07  8.73754876
2.09631649e-07  8.68764483
2.16830735e-07  8.63962885
2.24277049e-07  8.59352072
2.31979082e-07  8.54934382
2.39945615e-07  8.50712532
2.48185731e-07  8.46689785
2.56708825e-07  8.42870475
2.65524617e-07  8.3926025
2.74643157e-07  8.35863691
2.84074842e-07  8.32682199
2.93830426e-07  8.29718787
3.03921033e-07  8.26981237
3.14358167e-07  8.24478553
3.25153729e-07  8.22219321
3.36320028e-07  8.20212567
3.40602522e-07  8.19565815
3.47869796e-07  8.18453742
3.59816201e-07  8.16959189
3.72172865e-07  8.157498
3.84953876e-07  8.14838926
3.98173807e-07  8.14242751
4.05776082e-07  8.14054433
4.19711081e-07  8.13990789
4.34124631e-07  8.14286527
4.47145936e-07  8.1485913
4.60549603e-07  8.15746712
4.61555342e-07  8.1583574
4.74363509e-07  8.16937279
4.88583051e-07  8.18478809
5.03237803e-07  8.20399667
5.18322883e-07  8.22724501
5.33869663e-07  8.2548634
5.47561918e-07  8.28225166
5.61605342e-07  8.31332575
5.65207259e-07  8.32208414
5.76008939e-07  8.34804189
5.90781949e-07  8.38688751
6.05933844e-07  8.43029089
6.21474343e-07  8.47861542
6.34723139e-07  8.52291726
6.48265924e-07  8.57121785
6.57954243e-07  8.60802602
6.62085871e-07  8.6235909
6.76212482e-07  8.68025525
6.90628202e-07  8.74177592
7.05363807e-07  8.80864627
7.17373232e-07  8.86622278
7.29587128e-07  8.92770823
7.40490791e-07  8.98534392
7.42008976e-07  8.9933158
7.54642317e-07  9.06300114
7.67490751e-07  9.13746446
7.80557941e-07  9.21705581
7.9384761e-07  9.3021601
8.07363548e-07  9.3932014
8.12541662e-07  9.4296705
8.17644023e-07  9.46541364
8.28070153e-07  9.54134714
8.38614292e-07  9.62121624
8.49307824e-07  9.70549782
8.60122391e-07  9.79422722
8.71090181e-07  9.88795016
8.76677012e-07  9.93770089
8.82182111e-07  9.98649152
8.93431194e-07  10.0904687
9.04807601e-07  10.200205
9.16345192e-07  10.3164243
9.28013372e-07  10.4392527
9.37923898e-07  10.5483615
9.39846869e-07  10.5694432
9.51814305e-07  10.7067969
